pool_id,Year,MMWR_Week,Date_Collected,Zip_Code,county,county_code,Collected,Tested,WNV,Pools
201-1444,2004,34,20-Aug-08,48703,Arenac,11,2,2,NEG,1
201-1445,2004,35,27-Aug-08,48634,Bay,17,3,3,NEG,1
2029MP-001,2004,35,26-Aug-08,48430,Genesee,49,1,1,NEG,1
2029MP-002,2004,34,20-Aug-08,48836,Livingston,93,2,2,NEG,1
2029MP-003,2004,29,16-Jul-08,48386,Oakland,125,3,0,NEG,1
201-7,2004,26,11-Jun-04,26025,Calhoun,26025,1,1,NEG,1
201-8,2004,26,12-Jun-04,26005,Allegan,26005,1,1,NEG,1
201-9,2004,26,16-Jun-04,26041,Delta,26041,1,1,NEG,1
201-10,2004,26,16-Jun-04,26041,Delta,26041,1,1,NEG,1
201-11,2004,26,16-Jun-04,26119,Montmorency,26119,1,1,NEG,1
201-12,2004,26,17-Jun-04,26037,Clinton,26037,1,1,NEG,1
201-13,2004,26,18-Jun-04,26083,Keweenaw,26083,1,1,NEG,1
201-14,2004,26,20-Jun-04,26045,Eaton,26045,1,1,NEG,1
201-15,2004,26,22-Jun-04,26039,Crawford,26039,1,1,NEG,1
201-16,2004,26,22-Jun-04,26065,Ingham,26065,1,1,NEG,1
201-17,2004,26,24-Jun-04,26113,Missaukee,26113,1,1,NEG,1
201-18,2004,26,24-Jun-04,26107,Mecosta,26107,1,1,NEG,1
201-19,2004,26,25-Jun-04,26087,Lapeer,26087,1,1,NEG,1
201-20,2004,26,26-Jun-04,26149,St Joseph,26149,1,1,POS,1
201-21,2004,26,28-Jun-04,26009,Antrim,26009,1,1,NEG,1
201-22,2004,26,29-Jun-04,26139,Ottawa,26139,1,1,NEG,1
201-23,2004,26,30-Jun-04,26033,Chippewa,26033,1,1,NEG,1
201-24,2004,26,1-Jul-04,26047,Emmet,26047,1,1,NEG,1
201-25,2004,26,1-Jul-04,26037,Clinton,26037,1,1,NEG,1
201-26,2004,26,2-Jul-04,26067,Ionia,26067,1,1,NEG,1
201-27,2004,26,3-Jul-04,26101,Manistee,26101,1,1,NEG,1
201-28,2004,26,3-Jul-04,26037,Clinton,26037,1,1,NEG,1
201-29,2004,26,4-Jul-04,26059,Hillsdale,26059,1,1,NEG,1
201-30,2004,26,5-Jul-04,26071,Iron,26071,1,1,NEG,1
201-31,2004,26,6-Jul-04,26105,Mason,26105,1,1,NEG,1
201-32,2004,26,7-Jul-04,26009,Antrim,26009,1,1,NEG,1
